date,sp500,snp1,sp500Return,snp1Return,top1Ticker,holdingTicker,swapExecuted
2002-01-14,99.698612,100.000000,-0.0030138786,0.0000000000,AAPL,AAPL,0
2002-01-15,99.167821,100.508560,-0.0053239595,0.0050856047,AAPL,AAPL,0
2002-01-16,98.421084,100.956241,-0.0075300348,0.0044541532,AAPL,AAPL,0
2002-01-17,97.477315,101.286691,-0.0095890890,0.0032731991,AAPL,AAPL,0
2002-01-18,96.402151,102.005495,-0.0110298866,0.0070967256,AAPL,AAPL,0
2002-01-21,95.210312,102.612947,-0.0123632044,0.0059550914,AAPL,AAPL,0
2002-01-22,93.958582,103.003222,-0.0131469949,0.0038033684,AAPL,AAPL,0
2002-01-23,92.713342,103.096185,-0.0132530804,0.0009025261,AAPL,AAPL,0
2002-01-24,93.037491,102.565883,0.0034962554,-0.0051437585,AAPL,AAPL,0
2002-01-25,93.445027,102.582563,0.0043803396,0.0001626289,AAPL,AAPL,0
2002-01-28,93.691311,102.733706,0.0026355971,0.0014733809,AAPL,AAPL,0
2002-01-29,96.786617,102.417127,0.0330372838,-0.0030815543,AAPL,AAPL,0
2002-01-30,97.227739,102.002293,0.0045576738,-0.0040504349,AAPL,AAPL,0
2002-01-31,97.615465,102.729637,0.0039878113,0.0071306609,AAPL,AAPL,0
2002-02-01,99.392868,101.293915,0.0182082153,-0.0139757262,AAPL,AAPL,0
2002-02-04,100.725476,99.945653,0.0134074833,-0.0133103947,AAPL,AAPL,0
2002-02-05,103.509761,98.582337,0.0276423054,-0.0136405768,AAPL,AAPL,0
2002-02-06,105.870418,97.188825,0.0228061352,-0.0141355147,AAPL,AAPL,0
2002-02-07,105.930070,96.430604,0.0005634390,-0.0078015215,AAPL,AAPL,0
2002-02-08,105.573929,96.014129,-0.0033620332,-0.0043189119,AAPL,AAPL,0
2002-02-11,104.572772,95.451064,-0.0094830001,-0.0058643912,AAPL,AAPL,0
2002-02-12,103.875119,94.778190,-0.0066714579,-0.0070494198,AAPL,AAPL,0
2002-02-13,103.461105,93.990616,-0.0039856890,-0.0083096567,AAPL,AAPL,0
2002-02-14,103.451158,93.193991,-0.0000961447,-0.0084755808,AAPL,AAPL,0
2002-02-15,103.892040,91.482449,0.0042617473,-0.0183653601,AAPL,AAPL,0
2002-02-18,104.809223,89.592203,0.0088282278,-0.0206623895,AAPL,AAPL,0
2002-02-19,106.235338,87.610285,0.0136067679,-0.0221215515,AAPL,AAPL,0
2002-02-20,108.090520,85.642133,0.0174629496,-0.0224648480,AAPL,AAPL,0
2002-02-21,110.475797,85.247671,0.0220673968,-0.0046059310,AAPL,AAPL,0
2002-02-22,113.446775,85.113927,0.0268925753,-0.0015688899,AAPL,AAPL,0
2002-02-25,112.763327,88.500420,-0.0060243962,0.0397877693,AAPL,AAPL,0
2002-02-26,112.341928,93.006938,-0.0037370173,0.0509208637,AAPL,AAPL,0
2002-02-27,112.167903,96.921791,-0.0015490704,0.0420920448,AAPL,AAPL,0
2002-02-28,112.184092,100.163375,0.0001443260,0.0334453641,AAPL,AAPL,0
2002-03-01,110.760479,101.766174,-0.0126899645,0.0160018482,AAPL,AAPL,0
2002-03-04,109.485197,103.110496,-0.0115138762,0.0132099075,AAPL,AAPL,0
2002-03-05,108.370482,104.110358,-0.0101814198,0.0096969955,AAPL,AAPL,0
2002-03-06,107.477649,104.631584,-0.0082387141,0.0050064800,AAPL,AAPL,0
2002-03-07,106.294898,104.557429,-0.0110046183,-0.0007087270,AAPL,AAPL,0
2002-03-08,104.989863,104.827499,-0.0122774958,0.0025829799,AAPL,AAPL,0
2002-03-11,104.786288,104.409735,-0.0019390027,-0.0039852501,AAPL,AAPL,0
2002-03-12,105.017688,104.709145,0.0022083095,0.0028676390,AAPL,AAPL,0
2002-03-13,104.116578,103.254147,-0.0085805521,-0.0138956104,AAPL,AAPL,0
2002-03-14,103.533505,102.340142,-0.0056001984,-0.0088519953,AAPL,AAPL,0
2002-03-15,102.269717,102.142064,-0.0122065609,-0.0019354859,AAPL,AAPL,0
2002-03-18,101.193571,102.303964,-0.0105226292,0.0015850468,AAPL,AAPL,0
2002-03-19,99.850996,101.676983,-0.0132673890,-0.0061286091,AAPL,AAPL,0
2002-03-20,98.542451,101.230417,-0.0131049811,-0.0043920079,AAPL,AAPL,0
2002-03-21,102.501146,104.971046,0.0401724828,0.0369516329,AAPL,AAPL,0
2002-03-22,102.837141,109.557773,0.0032779659,0.0436951628,AAPL,AAPL,0
2002-03-25,101.727011,109.304725,-0.0107950263,-0.0023097223,AAPL,AAPL,0
2002-03-26,100.819404,108.951283,-0.0089219874,-0.0032335497,AAPL,AAPL,0
2002-03-27,99.501944,108.817118,-0.0130675216,-0.0012314225,AAPL,AAPL,0
2002-03-28,98.288663,108.642068,-0.0121935405,-0.0016086615,AAPL,AAPL,0
2002-03-29,97.017949,108.539482,-0.0129283894,-0.0009442543,AAPL,AAPL,0
2002-04-01,95.729248,108.691465,-0.0132831236,0.0014002529,AAPL,AAPL,0
2002-04-02,94.784325,107.960854,-0.0098707829,-0.0067218787,AAPL,AAPL,0
2002-04-03,93.667319,107.578156,-0.0117847104,-0.0035447826,AAPL,AAPL,0
2002-04-04,94.021081,108.623842,0.0037767872,0.0097202438,AAPL,AAPL,0
2002-04-05,94.440821,108.814064,0.0044643238,0.0017512040,AAPL,AAPL,0
2002-04-08,94.848566,110.406264,0.0043174608,0.0146322933,AAPL,AAPL,0
2002-04-09,95.180479,112.758322,0.0034993970,0.0213036640,AAPL,AAPL,0
2002-04-10,95.388178,116.141864,0.0021821649,0.0300070285,AAPL,AAPL,0
